"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0000CEROF","https://m.media-amazon.com/images/I/51KVRW47XYL._SX450_.jpg","B0000CEROF","Navy SEALS: SEAL CQB/SEAL H2H/SEAL Knife/SEAL Sniper [DVD]","N/A","FBA","Movies & TV",260235,787364501991,00787364501991,0787364501991,"N/A",,197375,29.96,-40,113,113,24,4550.85,4550.7,11,3.4,"Chapel Books","USA",4,1220,"N/A","Large Standard-Size",7.4,5.3,0.9,0.3,17.8,49.11,"11/30/2024",227,1,0,10.3
"https://amazon.com/dp/B0DPJFY3CM","https://m.media-amazon.com/images/I/41BcjR2Tx8L._SX450_.jpg","B0DPJFY3CM","A Little More Flesh [Blu-ray]","Vinegar Syndrome","Amazon","Movies & TV",278499,810161481163,"N/A",0810161481163,"N/A",,7888,26.49,-45,141,141,16,4532.43,4531.07,"N/A","N/A","Amazon","N/A",1,0,"N/A","Small Standard-Size",0.55,5.35,6.69,0.15,"N/A","N/A","11/30/2024",8,5,0,"N/A"
"https://amazon.com/dp/B08JCG8PYV","https://m.media-amazon.com/images/I/6171i3+uDNL._SX450_.jpg","B08JCG8PYV","JAPANESE GRAVURE IDOL Adult Marshmallow Sweets / Miki Ayano BD [Blu-ray]","N/A","FBM","Movies & TV",421142,"N/A","N/A",4570066050838,"N/A",,92768,30,-26,150,150,44,4504.59,4504.48,"N/A","N/A","ITTHAMONDeliveryMayTakeWeeksPLeaseCheckETA","USA",1,0,"N/A","Small Standard-Size",0.59,5.31,6.81,0.18,"N/A","N/A","11/30/2024",59,2,0,"N/A"
"https://amazon.com/dp/B0F2YJLQ6C","https://m.media-amazon.com/images/I/71roPPxXrvL._SX450_.jpg","B0F2YJLQ6C","ZHIXING 137-7046 Deflector Chute w/Mounting Hardware Compatible with Toro Timecutter Exmark Quest E-Series 42"" Mower SW4200 ZS4200S 75742 74665 75748 75749 74667 74677 74705 74711 75742TA 75742W","ZHIXING","FBA","Patio, Lawn & Garden",29194,"N/A","N/A","N/A","N/A","Grass Catchers",6,29.89,-41,150,150,-2,4504.85,4503.31,21,3.7,"Lawnpro","China",1,0,"N/A","Large bulky",5.08,17.4,20.59,2.49,916.32,2527.77,"06/30/2025",3,7,0,7.16
"https://amazon.com/dp/B0CKZWM62J","https://m.media-amazon.com/images/I/717sySuCqXL._SX450_.jpg","B0CKZWM62J","Zhou Nutrition Creatine Monohydrate Chewables 5g for Men & Women, Sugar Free, Organic, Non GMO, Pink Lemonade, 60 Creatine Gummies","ZHOU","FBA","Health & Household",79271,669191204569,00669191204569,0669191204569,"N/A","Creatine",334,29.99,-14,146,146,-42,4504.09,4502.49,128,3.1,"LUMlNlZE","USA",2,2594,"N/A","Large Standard-Size",2.17,6.5,7.8,0.82,55.39,152.8,"12/31/2023",22,6,0,1.15
"https://amazon.com/dp/B0815YJ5KD","https://m.media-amazon.com/images/I/51+OaKrcr-L._SX450_.jpg","B0815YJ5KD","Aadmi (Brand New Single Disc Dvd, Hindi Language, With English Subtitles, Released By DEI) Made In USA","N/A","FBM","Movies & TV",459543,616932609244,"N/A",0616932609244,"N/A",,364536,29,-38,126,126,11,4500.77,4500.61,"N/A","N/A","Planet Bollywood","USA",1,907,"N/A","Large Standard-Size",7,7,3,0.31,"N/A","N/A","05/31/2025",69,2,0,"N/A"
"https://amazon.com/dp/B0DK1PCHB6","https://m.media-amazon.com/images/I/71BWKO0t3yL._SX450_.jpg","B0DK1PCHB6","FFshiye 5pack C6-2 String Trimmer Head for Stihl FS38 FS40 FS40C FS45 FS46 FS50 FS50C FSA60R FSA86R FSE60 FSE71 FSE81","FFshiye","FBA","Patio, Lawn & Garden",83064,"N/A","N/A","N/A","N/A","Replacement Parts",1541,29.99,122,150,150,8433,4500.72,4499.1,11,3.1,"FFSHIYE US","China",1,0,"N/A","Large Standard-Size",3.58,12.83,15.98,3.4,369.54,1019.42,"06/30/2025",7,6,0,13.64
"https://amazon.com/dp/B07B8C91B4","https://m.media-amazon.com/images/I/81YhUG4AtcL._SX450_.jpg","B07B8C91B4","WING CHUN MASTERS Vol-1 featuring Sifu Francis Fong - Sifu Allan Lee Kong","N/A","FBM","Movies & TV",477490,"N/A","N/A",8526684220340,"N/A",,379449,29.95,-10,150,150,89,4496.06,4495.93,3,3.7,"em3Video","USA",2,1092,443,"Small Standard-Size",0.51,5.35,7.48,0.19,"N/A","N/A","11/30/2024",89,1,0,50.04
"https://amazon.com/dp/B0F6CBDY5B","https://m.media-amazon.com/images/I/81kMnUIwGAL._SX450_.jpg","B0F6CBDY5B","Qwiayeal Mahjong Mat with Rules for Table with 6 Mahjong Playing Instructions,4 Mahjong Tile Mixer & 4 Dice,Non-Slip and Silent Travel Mahjong Set for Mahjong/Poker/Board Games/Card Games/Dominoes","Qwiayeal","FBA","Toys & Games",70440,"N/A","N/A","N/A","N/A","Game Mats & Boards",84,26.99,4,138,138,,4493.19,4492.3,16,3.7,"Qwiayeal","N/A",1,0,"N/A","Large Standard-Size",2.56,8.47,9.06,2.55,98.91,272.85,"06/30/2025",4,7,0,8.61
"https://amazon.com/dp/B0DCS84W79","https://m.media-amazon.com/images/I/51v6pV-ErbL._SX450_.jpg","B0DCS84W79","AYIXITIELU Large Tent Storage Bag Tent Pole Bag - 83''L x 12''W - Tailored for Tent Poles, Suitable for Various Party Tent Canopy Models, Heavy-Duty Design with Reinforced Handles and Dual Zipper","AYIXITIELU","FBA","Patio, Lawn & Garden",47159,"N/A","N/A","N/A","N/A","Accessories",125,29.99,-24,149,149,-51,4477.91,4476.31,56,3.7,"AYiXi","China",1,0,"N/A","Large Standard-Size",2.99,8.03,11.65,2.54,140.83,388.49,"04/30/2025",12,7,0,2.67
